Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Social Status,Low,High,High - Low,0.732465488,0.056190955,148,West_Polish,POL,West,Polish,0.688204438,0.059083234,148,0.04426105,0.04426105
Social Status,Low,High,High - Low,0.721407038,0.05711731,148,West_Russian,RUS,West,Russian,0.688204438,0.059083234,148,0.0332026,0.0332026
Social Status,Low,High,High - Low,0.734635512,0.055473409,148,West_Spanish,ESP,West,Spanish,0.688204438,0.059083234,148,0.046431075,0.046431075
Species,Pets,Humans,Humans - Pets,0.79173357,0.047711205,166,East_Chinese,CHN,East,Chinese,0.899848736,0.034078376,166,-0.108115166,0.108115166
Species,Pets,Humans,Humans - Pets,0.825890406,0.044040713,166,East_Emirati,ARE,East,Emirati,0.899848736,0.034078376,166,-0.07395833,0.07395833
Species,Pets,Humans,Humans - Pets,0.814411241,0.045281755,166,East_HongKonger,HKG,East,HongKonger,0.899848736,0.034078376,166,-0.085437495,0.085437495
Species,Pets,Humans,Humans - Pets,0.835542192,0.042870098,166,East_Indian,IND,East,Indian,0.899848736,0.034078376,166,-0.064306543,0.064306543
Species,Pets,Humans,Humans - Pets,0.877208431,0.03750546,166,East_Indonesian,IDN,East,Indonesian,0.899848736,0.034078376,166,-0.022640305,0.022640305
Species,Pets,Humans,Humans - Pets,0.827995424,0.043753813,166,East_Japanese,JPN,East,Japanese,0.899848736,0.034078376,166,-0.071853312,0.071853312
Species,Pets,Humans,Humans - Pets,0.804821197,0.046343248,166,East_Korean,KOR,East,Korean,0.899848736,0.034078376,166,-0.095027538,0.095027538
Species,Pets,Humans,Humans - Pets,0.873276034,0.038008853,166,East_Malaysian,MYS,East,Malaysian,0.899848736,0.034078376,166,-0.026572701,0.026572701
Species,Pets,Humans,Humans - Pets,0.850635729,0.041020239,166,East_SaudiArabian,SAU,East,SaudiArabian,0.899848736,0.034078376,166,-0.049213007,0.049213007
Species,Pets,Humans,Humans - Pets,0.789665917,0.047921082,166,East_Taiwanese,TWN,East,Taiwanese,0.899848736,0.034078376,166,-0.110182819,0.110182819
Species,Pets,Humans,Humans - Pets,0.791175271,0.047769038,166,West_American,USA,West,American,0.899848736,0.034078376,166,-0.108673465,0.108673465
